Experiment Date: 15 April 2024 Time: 2:20 plus
Start of Data Logging
Line Break

Start of Data Logging
Line Break
Internal_Air_Temp(degree celsius); 23.50;   23.87;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.75;   |Moisture (AnalogRead); 582.00;   587.00;   583.00;   |Actual pH; 6.34;   |Methane(ppm); 125.43;   |DHT22(%); 65.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.50;   23.87;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.75;   |Moisture (AnalogRead); 582.00;   587.00;   583.00;   |Actual pH; 6.30;   |Methane(ppm); 125.43;   |DHT22(%); 65.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.44;   23.81;   |Temp_substrate(degree celsius); -127.00;   22.94;   22.75;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 124.06;   |DHT22(%); 65.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.37;   23.81;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.69;   |Moisture (AnalogRead); 582.00;   587.00;   583.00;   |Actual pH; 6.34;   |Methane(ppm); 124.06;   |DHT22(%); 65.40;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.37;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.81;   22.69;   |Moisture (AnalogRead); 583.00;   587.00;   583.00;   |Actual pH; 6.30;   |Methane(ppm); 124.06;   |DHT22(%); 65.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.44;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.81;   22.75;   |Moisture (AnalogRead); 583.00;   587.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 124.06;   |DHT22(%); 65.40;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.44;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.75;   |Moisture (AnalogRead); 582.00;   587.00;   583.00;   |Actual pH; 6.30;   |Methane(ppm); 124.06;   |DHT22(%); 65.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.37;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.75;   22.62;   |Moisture (AnalogRead); 581.00;   586.00;   582.00;   |Actual pH; 6.37;   |Methane(ppm); 124.06;   |DHT22(%); 65.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.31;   23.69;   |Temp_substrate(degree celsius); -127.00;   22.75;   22.62;   |Moisture (AnalogRead); 582.00;   586.00;   582.00;   |Actual pH; 6.30;   |Methane(ppm); 124.06;   |DHT22(%); 65.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.37;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.75;   22.62;   |Moisture (AnalogRead); 581.00;   586.00;   582.00;   |Actual pH; 6.34;   |Methane(ppm); 122.70;   |DHT22(%); 65.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.44;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.69;   |Moisture (AnalogRead); 583.00;   587.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 124.06;   |DHT22(%); 65.40;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.37;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.81;   22.69;   |Moisture (AnalogRead); 583.00;   587.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 126.81;   |DHT22(%); 65.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.31;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.81;   22.69;   |Moisture (AnalogRead); 582.00;   587.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 126.81;   |DHT22(%); 65.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.25;   23.69;   |Temp_substrate(degree celsius); -127.00;   22.75;   22.62;   |Moisture (AnalogRead); 582.00;   587.00;   582.00;   |Actual pH; 6.34;   |Methane(ppm); 126.81;   |DHT22(%); 65.60;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.12;   23.56;   |Temp_substrate(degree celsius); -127.00;   22.69;   22.50;   |Moisture (AnalogRead); 583.00;   587.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 126.81;   |DHT22(%); 65.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.50;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.75;   22.62;   |Moisture (AnalogRead); 582.00;   586.00;   582.00;   |Actual pH; 6.34;   |Methane(ppm); 129.61;   |DHT22(%); 66.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 24.25;   24.25;   |Temp_substrate(degree celsius); -127.00;   23.44;   23.12;   |Moisture (AnalogRead); 583.00;   587.00;   583.00;   |Actual pH; 6.34;   |Methane(ppm); 132.45;   |DHT22(%); 65.80;   |Fan Level; 0.00;   |
