Experiment Date: 15 April 2024 Time: 2:20 plus																			
Start of Data Logging																			
Line Break																			
																			
Start of Data Logging																			
Line Break	Internal_Air_Temp(degree celsius)																		
Internal_Air_Temp(degree celsius)	23.44	23.75	   |Temp_substrate(degree celsius)	-127	22.81	22.75	   |Moisture (AnalogRead)	583	587	584	   |Actual pH	6.3	   |Methane(ppm)	124.06	   |DHT22(%)	65.4	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.44	23.75	   |Temp_substrate(degree celsius)	-127	22.87	22.75	   |Moisture (AnalogRead)	582	587	583	   |Actual pH	6.3	   |Methane(ppm)	124.06	   |DHT22(%)	65.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.37	23.75	   |Temp_substrate(degree celsius)	-127	22.75	22.62	   |Moisture (AnalogRead)	581	586	582	   |Actual pH	6.37	   |Methane(ppm)	124.06	   |DHT22(%)	65.1	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.31	23.69	   |Temp_substrate(degree celsius)	-127	22.75	22.62	   |Moisture (AnalogRead)	582	586	582	   |Actual pH	6.3	   |Methane(ppm)	124.06	   |DHT22(%)	65.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.37	23.75	   |Temp_substrate(degree celsius)	-127	22.75	22.62	   |Moisture (AnalogRead)	581	586	582	   |Actual pH	6.34	   |Methane(ppm)	122.7	   |DHT22(%)	65.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.44	23.75	   |Temp_substrate(degree celsius)	-127	22.87	22.69	   |Moisture (AnalogRead)	583	587	584	   |Actual pH	6.34	   |Methane(ppm)	124.06	   |DHT22(%)	65.4	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.37	23.75	   |Temp_substrate(degree celsius)	-127	22.81	22.69	   |Moisture (AnalogRead)	583	587	584	   |Actual pH	6.3	   |Methane(ppm)	126.81	   |DHT22(%)	65.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.31	23.75	   |Temp_substrate(degree celsius)	-127	22.81	22.69	   |Moisture (AnalogRead)	582	587	584	   |Actual pH	6.3	   |Methane(ppm)	126.81	   |DHT22(%)	65.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.25	23.69	   |Temp_substrate(degree celsius)	-127	22.75	22.62	   |Moisture (AnalogRead)	582	587	582	   |Actual pH	6.34	   |Methane(ppm)	126.81	   |DHT22(%)	65.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.12	23.56	   |Temp_substrate(degree celsius)	-127	22.69	22.5	   |Moisture (AnalogRead)	583	587	584	   |Actual pH	6.34	   |Methane(ppm)	126.81	   |DHT22(%)	65.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.5	23.75	   |Temp_substrate(degree celsius)	-127	22.75	22.62	   |Moisture (AnalogRead)	582	586	582	   |Actual pH	6.34	   |Methane(ppm)	129.61	   |DHT22(%)	66	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	24.25	24.25	   |Temp_substrate(degree celsius)	-127	23.44	23.12	   |Moisture (AnalogRead)	583	587	583	   |Actual pH	6.34	   |Methane(ppm)	132.45	   |DHT22(%)	65.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	24.69	24.75	   |Temp_substrate(degree celsius)	-127	23.87	23.56	   |Moisture (AnalogRead)	583	587	583	   |Actual pH	6.34	   |Methane(ppm)	135.34	   |DHT22(%)	64.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	25	25.12	   |Temp_substrate(degree celsius)	-127	24.31	23.94	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.3	   |Methane(ppm)	135.34	   |DHT22(%)	63.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	25.25	25.37	   |Temp_substrate(degree celsius)	-127	24.5	24.19	   |Moisture (AnalogRead)	583	587	585	   |Actual pH	6.3	   |Methane(ppm)	138.28	   |DHT22(%)	62.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	25.44	25.62	   |Temp_substrate(degree celsius)	-127	24.75	24.44	   |Moisture (AnalogRead)	582	587	584	   |Actual pH	6.34	   |Methane(ppm)	138.28	   |DHT22(%)	62.7	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	25.56	25.81	   |Temp_substrate(degree celsius)	-127	24.94	24.69	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.34	   |Methane(ppm)	141.26	   |DHT22(%)	62.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	25.69	25.94	   |Temp_substrate(degree celsius)	-127	25.12	24.81	   |Moisture (AnalogRead)	584	589	586	   |Actual pH	6.3	   |Methane(ppm)	141.26	   |DHT22(%)	62.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	25.81	26.06	   |Temp_substrate(degree celsius)	-127	25.19	24.94	   |Moisture (AnalogRead)	585	588	586	   |Actual pH	6.3	   |Methane(ppm)	141.26	   |DHT22(%)	62.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	25.87	26.19	   |Temp_substrate(degree celsius)	-127	25.37	25.06	   |Moisture (AnalogRead)	583	587	583	   |Actual pH	6.34	   |Methane(ppm)	145.83	   |DHT22(%)	62.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26	26.25	   |Temp_substrate(degree celsius)	-127	25.5	25.12	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.34	   |Methane(ppm)	147.38	   |DHT22(%)	62.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.06	26.37	   |Temp_substrate(degree celsius)	-127	25.5	25.19	   |Moisture (AnalogRead)	584	588	584	   |Actual pH	6.34	   |Methane(ppm)	145.83	   |DHT22(%)	62.9	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.12	26.44	   |Temp_substrate(degree celsius)	-127	25.56	25.31	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.3	   |Methane(ppm)	147.38	   |DHT22(%)	63.1	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.19	26.5	   |Temp_substrate(degree celsius)	-127	25.69	25.37	   |Moisture (AnalogRead)	584	588	584	   |Actual pH	6.27	   |Methane(ppm)	147.38	   |DHT22(%)	63.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.25	26.56	   |Temp_substrate(degree celsius)	-127	25.62	25.5	   |Moisture (AnalogRead)	584	589	585	   |Actual pH	6.27	   |Methane(ppm)	148.93	   |DHT22(%)	63.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.25	26.62	   |Temp_substrate(degree celsius)	-127	25.69	25.56	   |Moisture (AnalogRead)	585	589	586	   |Actual pH	6.34	   |Methane(ppm)	147.38	   |DHT22(%)	63.7	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.31	26.69	   |Temp_substrate(degree celsius)	-127	25.81	25.56	   |Moisture (AnalogRead)	585	588	585	   |Actual pH	6.3	   |Methane(ppm)	150.51	   |DHT22(%)	63.9	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.37	26.69	   |Temp_substrate(degree celsius)	-127	25.81	25.62	   |Moisture (AnalogRead)	585	588	585	   |Actual pH	6.3	   |Methane(ppm)	153.69	   |DHT22(%)	64.1	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.37	26.75	   |Temp_substrate(degree celsius)	-127	25.87	25.62	   |Moisture (AnalogRead)	583	587	585	   |Actual pH	6.3	   |Methane(ppm)	152.09	   |DHT22(%)	64.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.44	26.75	   |Temp_substrate(degree celsius)	-127	25.94	25.69	   |Moisture (AnalogRead)	584	588	584	   |Actual pH	6.3	   |Methane(ppm)	152.09	   |DHT22(%)	64.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.44	26.81	   |Temp_substrate(degree celsius)	-127	25.87	25.62	   |Moisture (AnalogRead)	585	588	585	   |Actual pH	6.27	   |Methane(ppm)	152.09	   |DHT22(%)	64.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	26.5	26.81	   |Temp_substrate(degree celsius)	-127	25.94	25.75	   |Moisture (AnalogRead)	584	588	585	   |Actual pH	6.3	   |Methane(ppm)	153.69	   |DHT22(%)	65.1	   |Fan Level	0	   |
